10,photo_object_20200405_11_30_26.643299_0010.np,1317,890
13,photo_object_20200405_11_30_32.661897_0013.np,1282,868
16,photo_object_20200405_11_30_38.681554_0016.np,1092,902
19,photo_object_20200405_11_30_44.699994_0019.np,992,933
22,photo_object_20200405_11_30_50.719350_0022.np,1115,950
25,photo_object_20200405_11_30_56.738715_0025.np,1173,934
31,photo_object_20200405_11_31_08.777239_0031.np,1207,915
34,photo_object_20200405_11_31_14.797642_0034.np,1243,888
37,photo_object_20200405_11_31_20.817039_0037.np,1187,905
40,photo_object_20200405_11_31_26.837511_0040.np,1164,917
43,photo_object_20200405_11_31_32.857924_0043.np,1080,931
46,photo_object_20200405_11_31_38.885974_0046.np,980,922
49,photo_object_20200405_11_31_44.915123_0049.np,979,1027
52,photo_object_20200405_11_31_50.935963_0052.np,1103,1010
55,photo_object_20200405_11_31_56.956136_0055.np,1223,1006
58,photo_object_20200405_11_32_02.979851_0058.np,1393,898
64,photo_object_20200405_11_32_15.021166_0064.np,1209,948
67,photo_object_20200405_11_32_21.041587_0067.np,1026,1017
70,photo_object_20200405_11_32_27.060982_0070.np,1004,1020
73,photo_object_20200405_11_32_33.078697_0073.np,917,939
79,photo_object_20200405_11_32_45.118506_0079.np,1081,912
82,photo_object_20200405_11_32_51.136853_0082.np,992,919
88,photo_object_20200405_11_33_03.175969_0088.np,1028,972
91,photo_object_20200405_11_33_09.195953_0091.np,1077,938
94,photo_object_20200405_11_33_15.215982_0094.np,1216,989
97,photo_object_20200405_11_33_21.235901_0097.np,1379,897
100,photo_object_20200405_11_33_27.255836_0100.np,1369,854
103,photo_object_20200405_11_33_33.274978_0103.np,1169,946
106,photo_object_20200405_11_33_39.294067_0106.np,914,945
109,photo_object_20200405_11_33_45.313942_0109.np,933,892
112,photo_object_20200405_11_33_51.333028_0112.np,1042,1010
115,photo_object_20200405_11_33_57.352955_0115.np,957,899
118,photo_object_20200405_11_34_03.373026_0118.np,1255,977
121,photo_object_20200405_11_34_09.392035_0121.np,1413,880
124,photo_object_20200405_11_34_15.415764_0124.np,1345,845
127,photo_object_20200405_11_34_21.437426_0127.np,1205,925
130,photo_object_20200405_11_34_27.457432_0130.np,1086,968
133,photo_object_20200405_11_34_33.477285_0133.np,965,1010
136,photo_object_20200405_11_34_39.496222_0136.np,1086,995
139,photo_object_20200405_11_34_45.516161_0139.np,1206,916
148,photo_object_20200405_11_35_03.574274_0148.np,1018,944
151,photo_object_20200405_11_35_09.594207_0151.np,1051,943
154,photo_object_20200405_11_35_15.618161_0154.np,1013,929
163,photo_object_20200405_11_35_33.677706_0163.np,953,937
175,photo_object_20200405_11_35_57.755532_0175.np,1279,957
178,photo_object_20200405_11_36_03.774533_0178.np,1379,963
181,photo_object_20200405_11_36_09.794581_0181.np,1130,982
184,photo_object_20200405_11_36_15.812230_0184.np,1091,892
187,photo_object_20200405_11_36_21.833580_0187.np,1478,945
190,photo_object_20200405_11_36_27.853644_0190.np,1100,881
193,photo_object_20200405_11_36_33.868340_0193.np,1516,818
199,photo_object_20200405_11_42_32.033689_0199.np,1293,814
202,photo_object_20200405_11_42_38.053995_0202.np,1087,919
205,photo_object_20200405_11_42_44.073140_0205.np,1097,835
208,photo_object_20200405_11_42_50.092464_0208.np,1184,809
211,photo_object_20200405_11_42_56.111570_0211.np,1293,910
214,photo_object_20200405_11_43_02.131818_0214.np,1272,968
217,photo_object_20200405_11_43_08.152039_0217.np,1118,863
220,photo_object_20200405_11_43_14.168951_0220.np,1043,890
223,photo_object_20200405_11_43_20.188590_0223.np,1089,900
226,photo_object_20200405_11_43_26.207756_0226.np,894,897
229,photo_object_20200405_11_43_32.227977_0229.np,821,892
232,photo_object_20200405_11_43_38.247028_0232.np,785,931
235,photo_object_20200405_11_43_44.263441_0235.np,800,884
241,photo_object_20200405_11_43_56.300671_0241.np,766,880
247,photo_object_20200405_11_44_08.339123_0247.np,746,981
250,photo_object_20200405_11_44_14.358202_0250.np,736,937
253,photo_object_20200405_11_44_20.378410_0253.np,684,898
256,photo_object_20200405_11_44_26.398412_0256.np,610,898
262,photo_object_20200405_11_44_38.437998_0262.np,610,969
265,photo_object_20200405_11_44_44.457069_0265.np,622,930
268,photo_object_20200405_11_44_50.477194_0268.np,687,897
271,photo_object_20200405_11_44_56.497207_0271.np,794,864
274,photo_object_20200405_11_45_02.517293_0274.np,808,865
277,photo_object_20200405_11_45_08.537302_0277.np,670,864
280,photo_object_20200405_11_45_14.557145_0280.np,787,897
283,photo_object_20200405_11_45_20.577015_0283.np,801,867
286,photo_object_20200405_11_45_26.597151_0286.np,832,885
289,photo_object_20200405_11_45_32.615211_0289.np,815,851
292,photo_object_20200405_11_45_38.632591_0292.np,883,888
295,photo_object_20200405_11_45_44.651821_0295.np,801,891
298,photo_object_20200405_11_45_50.671974_0298.np,661,974
301,photo_object_20200405_11_45_56.699552_0301.np,700,956
304,photo_object_20200405_11_46_02.736352_0304.np,769,913
307,photo_object_20200405_11_46_08.769284_0307.np,715,894
316,photo_object_20200405_11_46_49.563484_0316.np,689,886
319,photo_object_20200405_11_46_55.593486_0319.np,728,943
322,photo_object_20200405_11_47_01.622881_0322.np,548,968
325,photo_object_20200405_11_47_07.652440_0325.np,621,899
328,photo_object_20200405_11_47_13.682380_0328.np,572,883
331,photo_object_20200405_11_47_19.730276_0331.np,546,896
352,photo_object_20200405_11_48_48.635408_0352.np,601,884
370,photo_object_20200405_11_56_41.078217_0370.np,924,890
373,photo_object_20200405_11_56_51.101236_0373.np,872,923
376,photo_object_20200405_11_57_45.877003_0376.np,875,861
379,photo_object_20200405_11_57_55.898088_0379.np,773,955
382,photo_object_20200405_11_58_05.921269_0382.np,970,941
385,photo_object_20200405_11_58_15.944556_0385.np,855,899
388,photo_object_20200405_11_58_25.958997_0388.np,943,858
391,photo_object_20200405_11_58_35.982228_0391.np,906,933
394,photo_object_20200405_11_58_46.005475_0394.np,976,866
397,photo_object_20200405_11_58_56.019267_0397.np,978,941
400,photo_object_20200405_11_59_06.042634_0400.np,842,949
409,photo_object_20200405_11_59_36.112792_0409.np,922,908
418,photo_object_20200405_12_00_22.051687_0418.np,834,934
421,photo_object_20200405_12_00_32.074578_0421.np,790,873
